Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	DNA Replication (GO:0006260)	46/73	9.803708e-18	3.836815e-15	0	0	8.001758e+00	3.133790e+02	FEN1;BLM;RNASEH2A;MCM7;POLDIP2;MCM8;MCM9;ORC5;POLD3;RECQL4;WRN;RECQL5;TOP1MT;ORC3;POLD1;CHEK1;POLD2;REV3L;POLL;POLE;RFC5;UPF1;WDHD1;RFC3;DUT;RFC4;RFC1;WDR18;REV1;DONSON;RPA1;RPA2;TICRR;POLA1;POLA2;POLG2;GRWD1;POLE2;RPA3;CDK2;POLE3;MCM4;MCM5;DNA2;MCM6;MCM2
GO_Biological_Process_2023	rRNA Metabolic Process (GO:0016072)	51/91	1.996211e-16	7.161407e-14	0	0	5.992098e+00	2.166150e+02	DDX49;DDX47;NVL;DIS3L;RPL7;RRP9;RPS15;FBL;RPS16;NOB1;RPS19;RRP12;PELP1;UTP15;WDR36;DIS3;RPS6;GTF3A;WDR74;DDX10;DDX54;SLFN13;EBNA1BP2;DKC1;MRTO4;PIH1D2;DDX27;NOL8;NOLC1;NOC4L;NOL6;EXOSC7;RRP7A;EMG1;EXOSC5;EXOSC10;EXOSC4;PES1;RPL14;UTP20;EXOSC2;LYAR;NOP56;NOP14;NOP58;NIFK;WDR18;RPL35A;BYSL;RPS25;RPS28
GO_Biological_Process_2023	Gene Expression (GO:0010467)	110/296	1.043007e-15	3.453957e-13	0	0	2.801993e+00	9.665941e+01	RPL4;NUP107;RPL3;RPL31;RPL34;HNRNPU;CASC3;RPL8;RPL10A;RPL9;RPL7;RPS15;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;KPNA4;RPL37;RPS11;TGM2;NUP214;RPS9;RPL21;RPS8;RPS5;RPS6;MRPS18B;THOC1;DNTTIP2;MRPS18A;RPSA;THOC5;PRPF4;DDX39A;DDX39B;DKC1;RPL29;MRPL14;MRPL12;RPS4Y1;GSPT1;NUP160;MRPL11;NUP85;TPR;TSPAN5;NUP88;MRPL28;RPS25;RPS28;RPL27A;AGO2;RPS20;FARSB;EIF4G1;HBS1L;MRPS15;SMG1;MRPS16;FASTKD2;MRPS11;DIS3L;MRPS12;RPLP0;MRPL37;SMG7;MRPL35;SYNCRIP;MRPL3;RPL7A;XPO1;CASP3;RPLP2;UPF1;NCBP1;NUP133;DIS3;PABPC4;MRPS21;DDX54;RPL13A;TFIP11;MRPS7;MRPS5;ZAR1;MRRF;NUFIP1;RPL12;DDX20;NOL9;MRPL55;HSPD1;EXOSC7;EXOSC5;EXOSC10;EXOSC4;RPS15A;RPL14;RPS3;RPS2;EXOSC2;RAE1;RPL17;ANGPT2;GALNT2;RPL35A;MCM3AP
GO_Biological_Process_2023	Ribosomal Large Subunit Biogenesis (GO:0042273)	36/54	2.528935e-15	7.776475e-13	0	0	9.371722e+00	3.149927e+02	NVL;PAK1IP1;NIP7;RPLP0;MAK16;NOP2;PPAN;MALSU1;NOC2L;RPF2;SDAD1;SPATA5;RPL7;SPATA5L1;C1ORF109;PES1;RPL14;RRS1;HEATR3;SURF6;BRIX1;RRP15;MDN1;NPM1;NOP16;GTF3A;WDR74;RPL35A;WDR12;GTPBP4;NLE1;EBNA1BP2;LAS1L;CINP;MRTO4;RSL24D1
GO_Biological_Process_2023	Double-Strand Break Repair Via Homologous Recombination (GO:0000724)	54/111	7.677341e-14	2.203397e-11	0	0	4.451546e+00	1.344274e+02	FEN1;WDR48;MCM7;MCM8;MCM9;TONSL;SMC6;BRCA1;BRCA2;ZFYVE26;REV3L;MEIOB;POLL;GEN1;RMI2;NSMCE2;TOP3A;HUS1;LIG3;RAD51B;MMS22L;RNF169;MCM3;MCM4;MCM5;MCM6;MCM2;BLM;RAD54B;RECQL4;WRN;CDC45;RECQL5;RBBP8;GINS2;FANCM;KDM4D;POLN;INTS3;XRCC2;XRCC3;GINS4;RPA1;RPA2;CDC7;FANCB;INO80;PALB2;RAD52;RAD51;RFWD3;RPA3;NABP2;AUNIP
GO_Biological_Process_2023	DNA Damage Response (GO:0006974)	127/384	1.766366e-13	4.543472e-11	0	0	2.342685e+00	6.879219e+01	CCNK;ANKLE1;KDM1A;SMC6;ALKBH8;HERC2;TRIM28;CCND1;ALKBH1;CHEK2;MYC;CHCHD6;CHEK1;MACROD1;MEN1;WDHD1;ENDOG;LIG1;DDX11;USP3;HUS1;WDR76;TRAIP;MSH6;DEPDC1B;SLFN11;MSH2;MSH3;TIMELESS;FLYWCH1;TP53;BLM;DCUN1D5;PRKDC;XPC;FBXO45;PDS5A;CDKN2AIP;BCL2L11;OARD1;HLTF;UBR5;ABL1;EP400;NAE1;ATRIP;ZRANB3;NEK4;XRCC5;INTS3;XRCC2;XRCC3;FANCA;NFATC2;INO80;FBXO31;POLA1;TDP1;NABP2;RAD17;ATM;MMS19;RAD18;ATR;RAD9A;TOP2A;FEN1;SMG1;WDR48;MCM7;MCM8;SUV39H1;MCM9;ASH2L;MCM10;BRCA1;RPTOR;EXO1;MLST8;TOPBP1;POLH;RFC5;UPF1;RMI2;RFC3;RFC4;PARP2;BAZ1B;TNFRSF1B;SIRT1;REXO4;DDB1;RAD51B;RNF169;USP10;BRAT1;TAF9;UNG;ZBTB40;RECQL4;BCLAF1;PAK1;WRN;RECQL5;RBBP5;POLD1;RPS3;RBBP8;UBQLN4;POLQ;NPM1;RRM1;RPA1;GTF2H3;USP28;MTOR;TICRR;CUL4A;RAD50;RAD51;APEX1;RFWD3;RPA3;POLE2;POLE3;ERCC8;TAF1
GO_Biological_Process_2023	Nuclear Transport (GO:0051169)	28/39	1.794170e-13	4.543472e-11	0	0	1.190557e+01	3.494175e+02	AHCTF1;NUP205;POM121;NUP107;SEH1L;CITED1;NUP188;NUP160;XPO1;NUP85;NUP62;TPR;NUP43;NUP88;RAE1;NDC1;NUP214;RANBP2;NPM1;NUP133;NUP155;NUP210;NUP153;RANGAP1;NUP93;NUP50;NUP98;NUP37
GO_Biological_Process_2023	Mitochondrial Translation (GO:0032543)	49/98	2.871956e-13	6.868762e-11	0	0	4.694421e+00	1.355684e+02	GFM1;MRPS15;MRPS16;FASTKD2;GFM2;MRPS11;MRPS12;MRPL38;MRPL37;MRPL35;MRPL4;MRPL3;MTRF1;MRPL2;MTG1;EARS2;TSFM;MRPS26;MRPS27;MRPS24;MRPS25;MRPS18B;MRPS18A;MRPS2;MRPS21;MRPL45;MRPS7;QRSL1;MRPL46;MRPS5;TUFM;LARS2;MRPS9;DAP3;MRPL19;MRPS34;MRPL14;MTIF2;MRPS30;MRPL12;MRPL11;MRPL55;IARS2;GADD45GIP1;PTCD3;GATC;MRPL28;MRPL21;MRPL22
GO_Biological_Process_2023	Peptide Biosynthetic Process (GO:0043043)	66/158	1.218206e-12	2.760197e-10	0	0	3.375328e+00	9.259754e+01	RPL4;HBS1L;MRPS15;RPL3;MRPS16;RPL31;RPL34;MRPS11;MRPS12;RPLP0;MRPL37;RPL10A;RPL8;RPL9;MRPL35;RPL7;RPS15;RPS14;MRPL3;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL37;RPS11;RPS9;RPL21;RPS8;RPS5;PABPC4;RPS6;MRPS18B;MRPS18A;MRPS21;RPL13A;RPSA;MRPS7;MRPS5;ZAR1;RPL29;MRRF;RPL12;MRPL14;MRPL12;RPS4Y1;GSPT1;MRPL11;MRPL55;RPS15A;RPL14;RPS3;RPS2;RPL17;MRPL28;RPL35A;RPS25;RPS28;RPL27A;AGO2;RPS20;EIF4G1;FARSB
GO_Biological_Process_2023	Cytoplasmic Translation (GO:0002181)	46/93	2.500057e-12	5.381373e-10	0	0	4.591158e+00	1.226515e+02	RPL4;EIF4A1;RPL3;RPL31;RPL34;RPL12;MRPS12;RPLP0;RPL10A;RPL8;RPL9;RPL7;RPS15;RPL7A;RPS14;RPS16;RPS15A;RPL18A;RPS19;RPS18;RPL36;RPL14;RPS3;RPL35;RPLP2;RPL37;RPS2;RPS11;RPL17;RPS9;EIF2B3;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL35A;RPSA;RPS25;RPS28;RPL27A;DRG2;ETF1;RPL22L1;RPS20;RPL29
GO_Biological_Process_2023	Nucleocytoplasmic Transport (GO:0006913)	31/50	3.971428e-12	8.141427e-10	0	0	7.634006e+00	2.004071e+02	AHCTF1;NUP205;POM121;NUP107;SEH1L;CITED1;NUP188;MALT1;NUP160;XPO1;NUP85;NUP62;TPR;NUP43;NUP88;HNRNPA1;RAE1;NDC1;NUP214;RANBP2;NPM1;NUP133;NUP210;NUP155;NUP153;RANGAP1;NUP93;CDAN1;NUP50;NUP98;NUP37
GO_Biological_Process_2023	Double-Strand Break Repair (GO:0006302)	67/168	1.046403e-11	2.047621e-09	0	0	3.120321e+00	7.889132e+01	DCLRE1B;FEN1;ANKLE1;WDR48;MCM8;MCM9;TONSL;SMC6;BRCA1;HMGB1;BRCA2;PRPF19;ZFYVE26;EME1;CHEK2;REV3L;MEIOB;SMARCAD1;TNKS1BP1;POLL;GEN1;RMI2;PARP2;NSMCE2;TOP3A;HUS1;LIG3;RAD51B;MMS22L;DEPDC1B;RNF169;DNA2;BLM;PRKDC;CDCA5;DDX1;RAD54B;RECQL4;WRN;MTA1;RECQL5;RBBP8;POLQ;XRCC6;KDM4D;POLN;XRCC5;INTS3;XRCC2;XRCC3;RPA1;RPA2;INO80;PALB2;REC8;RAD52;POLA1;PPP5C;RAD50;RAD51;TDP1;RFWD3;RPA3;NABP2;ATM;AUNIP;TRIP13
GO_Biological_Process_2023	DNA Duplex Unwinding (GO:0032508)	27/41	1.231222e-11	2.304526e-09	0	0	9.016085e+00	2.264879e+02	BLM;MCM7;DHX9;MCM8;DDX1;MCM9;IGHMBP2;RECQL4;WRN;CDC45;RECQL5;ASCC3;GINS1;GINS2;UPF1;DDX11;GINS3;GINS4;HMGA1;SUPV3L1;RAD50;RAD51;MCM3;MCM4;MCM5;MCM6;MCM2
GO_Biological_Process_2023	Mitochondrial Gene Expression (GO:0140053)	48/103	1.314746e-11	2.358325e-09	0	0	4.094279e+00	1.025813e+02	MRPS15;MRPS16;FASTKD1;FASTKD2;GFM2;FASTKD3;MRPS11;MRPL19;MRPS12;MRPS34;MRPL38;MRPL14;MRPL37;MRPS30;MRPL12;MRPL35;MRPL11;MRPL55;TBRG4;MRPL4;MRPL3;MRPL2;MTG1;IARS2;GADD45GIP1;PTCD3;MRPS26;MRPS27;MRPS24;MRPS25;MRPS18B;GATC;MRPS18A;MRPL28;MRPS2;MRPS21;POLRMT;MRPL45;MRPS7;QRSL1;MRPL46;MRPL21;MRPS5;MRPL22;LARS2;MRPS9;TFAM;DAP3
GO_Biological_Process_2023	DNA Replication Initiation (GO:0006270)	18/21	2.199969e-11	3.788347e-09	0	0	2.799716e+01	6.870502e+02	MCM7;PRIM1;MCM10;LRWD1;NOC3L;ORC5;ORC4;POLA1;POLA2;CDC45;ORC6;ORC1;ORC3;ORC2;MCM3;MCM5;TOPBP1;MCM2
GO_Biological_Process_2023	protein-RNA Complex Assembly (GO:0022618)	60/150	1.070466e-10	1.772444e-08	0	0	3.131649e+00	7.189565e+01	HSP90AB1;CELF1;MRPS11;RPLP0;PPAN;PWP2;PRPF19;USP39;RPS15;RPS14;SART3;RPS19;SNRPD2;LUC7L;EIF2D;PRMT5;HSP90AA1;PRMT7;NCBP1;RPS5;RPSA;MRPS7;CRNKL1;GCFC2;SHQ1;DDX39B;CLNS1A;GEMIN4;GEMIN5;GEMIN6;SNRPE;SNRPF;GEMIN8;SNRNP200;DHX9;PRKDC;DDX1;NOP2;DDX23;DDX20;RPF2;RRP7A;TGS1;POLR2D;RRS1;BRIX1;SF3B1;MDN1;XRCC5;PTGES3;NLE1;SRPK1;XAB2;RPS28;EIF3L;AGO2;HNRNPC;EIF3C;EIF3D;EIF3B
GO_Biological_Process_2023	Recombinational Repair (GO:0000725)	44/95	1.193004e-10	1.902178e-08	0	0	4.043810e+00	9.239853e+01	FEN1;BLM;WDR48;MCM8;MCM9;TONSL;BRCA1;SMC6;BRCA2;RAD54B;RECQL4;ZFYVE26;WRN;RECQL5;REV3L;RBBP8;MEIOB;POLL;GEN1;RMI2;XRCC6;KDM4D;POLN;XRCC5;INTS3;XRCC2;NSMCE2;TOP3A;XRCC3;RPA1;HUS1;RPA2;LIG3;INO80;PALB2;RAD51B;RAD52;MMS22L;RNF169;RAD51;RFWD3;RPA3;NABP2;AUNIP
GO_Biological_Process_2023	tRNA Processing (GO:0008033)	29/50	1.973860e-10	3.034810e-08	0	0	6.456885e+00	1.442847e+02	METTL2B;POP7;AARS2;ANKRD16;POP1;RPP30;DDX1;RTCB;WDR4;C2ORF49;THUMPD1;TSEN2;THG1L;DTWD2;LCMT2;PUS3;PTCD1;TRMT10C;METTL1;ELAC2;NSUN2;RPP40;NSUN6;TRMT1;ELP5;TRIT1;QTRT1;RPP21;FAM98B
GO_Biological_Process_2023	DNA Recombination (GO:0006310)	26/42	2.289587e-10	3.398853e-08	0	0	7.593803e+00	1.685633e+02	BLM;BRCA1;HMGB1;RAD54B;EXO1;RBBP8;TOPBP1;GEN1;RMI2;XRCC6;ENDOG;XRCC5;XRCC2;TOP3A;XRCC3;RPA1;TSN;RAD51B;RAD52;SUPV3L1;RAD50;RAD51;MSH2;MSH3;DMC1;THAP9
GO_Biological_Process_2023	Mismatch Repair (GO:0006298)	19/25	2.980357e-10	4.276812e-08	0	0	1.477778e+01	3.241329e+02	RNASEH2B;SETD2;PCNA;RNASEH2A;LIG1;MCM8;MCM9;RPA1;RPA2;XPC;MLH1;POLD3;MSH6;MSH2;EXO1;MSH3;RPA3;PMS2;PMS1
GO_Biological_Process_2023	Maturation Of SSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	21/30	4.293422e-10	5.962317e-08	0	0	1.089308e+01	2.349504e+02	NOP14;UTP6;RPS8;MRPS11;HEATR1;NGDN;RPP40;KRI1;PWP2;WDR46;WDR43;RPS14;TBL3;RPS16;RPS19;BMS1;DHX37;RRS1;TSR1;UTP20;NOL10
GO_Biological_Process_2023	tRNA Modification (GO:0006400)	34/67	7.359412e-10	9.900708e-08	0	0	4.820703e+00	1.013788e+02	METTL2B;MOCS3;AARS2;ANKRD16;WDR4;THUMPD1;THADA;MTO1;ALKBH8;THG1L;DTWD2;ALKBH1;TYW1;WDR6;LCMT2;TRMT44;DUS4L;METTL8;PUS3;METTL1;NSUN2;PUS1;TYW3;NSUN6;TRMT1;PUS7;ELP5;TRIT1;TARBP1;DUS2;QTRT1;DUS1L;DUS3L;TRMT61A
GO_Biological_Process_2023	DNA Strand Elongation Involved In DNA Replication (GO:0006271)	12/12	9.436523e-10	1.231037e-07	0	0	1.974720e+05	4.103718e+06	POLD3;POLA1;RFC3;PCNA;RFC4;MCM7;POLD2;POLE3;MCM3;MCM4;LIG3;POLE
GO_Biological_Process_2023	Mitotic Sister Chromatid Segregation (GO:0000070)	47/111	1.191744e-09	1.508958e-07	0	0	3.442343e+00	7.073275e+01	SEH1L;CDCA5;NCAPG2;PINX1;BCCIP;KIF14;CDCA8;NCAPG;KIF11;SMC4;NCAPH;SMC2;CCNB1;DSN1;CHEK2;NUP62;NUSAP1;RRS1;KNTC1;CEP192;PIBF1;MAP9;DLGAP5;DIS3L2;NUDC;SPAG5;NCAPH2;PLK1;KIF23;INO80;KIF22;TUBG2;TUBG1;TPX2;CENPE;KIF18A;KIF18B;ESPL1;CENPI;PRC1;ZW10;CHMP4C;KIF2C;NCAPD2;NCAPD3;KPNB1;RAN
GO_Biological_Process_2023	DNA Unwinding Involved In DNA Replication (GO:0006268)	16/20	2.153707e-09	2.649060e-07	0	0	1.865306e+01	3.722419e+02	GINS1;GINS2;MCM7;GINS3;GINS4;HMGA1;RECQL4;WRN;CDC45;RAD51;RECQL5;MCM3;MCM4;MCM5;MCM6;MCM2
GO_Biological_Process_2023	Nuclear Export (GO:0051168)	27/49	3.946624e-09	4.608740e-07	0	0	5.734717e+00	1.109691e+02	POM121;ANKLE1;NUP188;CSE1L;MALT1;XPO1;XPO4;POM121C;XPO6;NUP62;XPO5;TPR;CCHCR1;HNRNPA1;RAE1;NUP214;RANBP2;NUP155;STRADB;RANBP17;XPO7;NUP153;RANGAP1;DDX39A;DDX39B;NUP98;RAN
